ID,Q1: 您的生理性別 Gender,Q2: 你的出生西元年 your birth year,Q3: 您的星座 constellation    ,Q4: 您是哪個學院的 which college you come from,Q7: 您的性格傾向（依照您自己的觀察判斷）Personality   and  personal characters ,personality,Q8: 您的課外活動/社團活動參與 involvement in after-class extracurricular activities,Q9: 您的學業表現 (過去以來的狀況) your academic performance level in general,Q10: 您的居住狀態 where do you live?,你主要使用的手機廠牌 Brand of your major cellurla phone,這隻手機使用多久How long you have this phone?,手機上網流量 internet connection type,A: 關於手機的一些資訊 some information about cellalur phone usage [S1. FB的朋友數 number of friends you have at FB],A: 關於手機的一些資訊 some information about cellalur phone usage [S2. LINE的好友數 number of friends you have at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S3. LINE的群組數 number of groups you are in at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S4. IG的粉絲數 number of followers at IG],A: 關於手機的一些資訊 some information about cellalur phone usage [S5. IG的追蹤中人數 number of following at IG],B: 手機使用行為 Cellular phone usage [B1. 每天用手機玩手機遊戲的時間大約幾分鐘 time (minutes) of playing game on the phone per day ],B: 手機使用行為 Cellular phone usage [B2. 每天用手機看影片追劇的時間大約幾分鐘 time (minutes) of watching vedio/film/drama on the phone per day ],B: 手機使用行為 Cellular phone usage [B3: 每天用手機瀏覽新聞的時間大約幾分鐘 time (minutes) of reading news on the phone per day ],B: 手機使用行為 Cellular phone usage [B4. 一週用手機叫餐買食物飲料的次數 number of ordering food/drinks per week in average],B: 手機使用行為 Cellular phone usage [B5. 一週用手機叫車搭車的次數 number of calling taxi per week in average],B: 手機使用行為 Cellular phone usage [B6: 手機剩下%多少電力時會感到焦慮(請填0-100的數值) how many % of power left may feel nervous],"C: 手機使用習慣 tendency of using phone [C1. 我曾因長時間玩手機遊戲而眼睛酸澀、肌肉痠痛，或有其他身體不適 I have often experienced dry/sore eyes, muscle aches, or other physical discomforts from playing mobile games for a long duration.a]","C: 手機使用習慣 tendency of using phone [C2. 我常常原本沒有打算玩手機遊戲，卻會忍不住拿起手機來玩一下（滑一下） I often do not plan on playing mobile games, but cannot resist picking up my phone to play (swipe).]",C: 手機使用習慣 tendency of using phone [C3. 在過去3個月裡，我感覺需要更常玩手機遊戲，或玩更久的時間才覺得我玩夠了 I find that I am spending more time playing mobile games],"C: 手機使用習慣 tendency of using phone [C4. 如果不能玩手機遊戲，我會覺得靜不下心，感到很煩躁 If I cannot play a mobile game, I feel restless and irritable.]",總時間
290,男,1999,5. 雙子座(5/21-6/21) Gemini,文學院College of Liberal Arts,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,4在課業上我應該算是很厲害的 excellent and outstanding,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,963,328,37,1116,729,180,30,20,2,2,50,3符合 agree,4非常符合 extremely agree,2不符合 disagree,1極不符合 extremely disagree,224.28
291,男,1999,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,1000,100,25,9990,67,69,0,30,2,2,10,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,92.61
292,女,1999,5. 雙子座(5/21-6/21) Gemini,科技學院College of Technology and Engineering,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L5: 租房子 rent a house/room out of school,索尼SONY,6. 四年以上上未滿五年 > 4 years less than 5 years,3. 預付卡或臨時卡 Prepaid SIM card,987,56,36,68,88,56,32,55,24,35,26,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,191.34
293,男,1999,5. 雙子座(5/21-6/21) Gemini,音樂學院College of Music,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L3: 住在親戚/朋友家裡 live in relative/friend's house,糖果SUGAR,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,8652,25,357,5555,877,658,856,452,35,53,85,2不符合 disagree,3符合 agree,3符合 agree,2不符合 disagree,98.79
294,女,2000,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,6. 四年以上上未滿五年 > 4 years less than 5 years,2. 有限制不是吃到飽 limited data,632,288,118,216,480,40,0,10,1,0,35,3符合 agree,4非常符合 extremely agree,3符合 agree,4非常符合 extremely agree,220.53
295,女,2000,5. 雙子座(5/21-6/21) Gemini,其它,3. 外向活潑 Outward and active,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,歐寶OPPO,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,300++,100++,20++,300++,400++,330,100,0,0,0,1,2不符合 disagree,3符合 agree,3符合 agree,2不符合 disagree,390.05
296,男,2000,5. 雙子座(5/21-6/21) Gemini,其它,5. 難以捉摸 Hart to say and unstable,FALSE,1. 從不參與  never involve,1稍微有一點落後其他同學 below average,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,200,70,20,780,450,480,300,30,18,0,20,3符合 agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,254.9
297,女,2000,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,185,20,10,99,106,0,30,15,0,0,40,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,444
298,男,2000,5. 雙子座(5/21-6/21) Gemini,管理學院College of Management,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,500,200,60,300,300,30,60,60,0,0,40,3符合 agree,3符合 agree,3符合 agree,3符合 agree,139.13
299,男,2000,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,500多,300多,50多,346,316,50,60,10,2,1,50,2不符合 disagree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,126.27
300,男,2001,5. 雙子座(5/21-6/21) Gemini,理學院College of Science,3. 外向活潑 Outward and active,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,VIVO,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,200,150,10,70,200,360,30,20,0,0,0,3符合 agree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,129.58
301,男,2001,5. 雙子座(5/21-6/21) Gemini,理學院College of Science,1. 內向安靜 Introvert and gentle,301,1. 從不參與  never involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,76,82,43,52,264,60,10,10,0,0,50,2不符合 disagree,2不符合 disagree,2不符合 disagree,2不符合 disagree,218.67
302,女,2001,5. 雙子座(5/21-6/21) Gemini,管理學院College of Management,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,三星SAMSUNG,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,450,570,42,290,390,0,60,10,0,0,32,4非常符合 extremely agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,162.97
303,男,2001,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,4. 只用WIFI不能用SIM卡上網,300,100,30,85,300,200,200,30,2,0,20,3符合 agree,3符合 agree,3符合 agree,3符合 agree,174.56
304,男,2001,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,4. 只用WIFI不能用SIM卡上網,300,100,30,85,300,200,200,30,0,0,20,3符合 agree,3符合 agree,3符合 agree,3符合 agree,111.05
305,女,2001,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,76,120,100,64,92,0,0,10,0,0,4,3符合 agree,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,312.04
306,女,2001,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,300,180,30,222,260,0,20,10,0,0,40,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,204.93
307,男,2001,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,679,275,66,224,191,150,250,30,5,1,10,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,203.36
308,男,2001,5. 雙子座(5/21-6/21) Gemini,國際與僑教學院College of International Studies and Social Sciences,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,895,1330,220,579,1528,60,20,10,1,10,30,4非常符合 extremely agree,4非常符合 extremely agree,3符合 agree,3符合 agree,259.52
309,女,2001,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,419,221,60,178,199,36,90,2,1,0,32,4非常符合 extremely agree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,283.95
310,女,2001,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,1. 從不參與  never involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,索尼SONY,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,少於10,103,5,50,200,180,0,0,0,0,20,3符合 agree,4非常符合 extremely agree,2不符合 disagree,1極不符合 extremely disagree,264.51
311,女,2001,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,922,482,89,543,585,40,60,10,1,0,8,3符合 agree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,376.73
312,女,2001,5. 雙子座(5/21-6/21) Gemini,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,4. 二年以上未滿三年 > 2 years less than 3 years,2. 有限制不是吃到飽 limited data,200,150,60,230,800,240,180,20,0,0,1,4非常符合 extremely agree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,139.19
313,女,2002,5. 雙子座(5/21-6/21) Gemini,教育學院College of Education,1. 內向安靜 Introvert and gentle,313,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,183,66,86,27,23,240,120,0,3,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,172.25
314,男,2002,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,308,100,11,664,171,360,365,60,1,0,15,3符合 agree,2不符合 disagree,2不符合 disagree,3符合 agree,237.28
315,女,2002,5. 雙子座(5/21-6/21) Gemini,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,397,252,111,241,307,30,45,20,0,0,20,3符合 agree,4非常符合 extremely agree,3符合 agree,2不符合 disagree,291
316,男,2002,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,316,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,402,81,30,225,295,40,20,20,0,0,30,3符合 agree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,699.77
317,女,2002,5. 雙子座(5/21-6/21) Gemini,文學院College of Liberal Arts,1. 內向安靜 Introvert and gentle,317,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,2. 有限制不是吃到飽 limited data,274,254,119,208,337,0,40,30,0,0,30,2不符合 disagree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,172.76
318,女,2002,5. 雙子座(5/21-6/21) Gemini,教育學院College of Education,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,4在課業上我應該算是很厲害的 excellent and outstanding,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,500,357,68,501,514,300,200,50,0,0,50,3符合 agree,1極不符合 extremely disagree,2不符合 disagree,2不符合 disagree,225.91
319,女,2002,5. 雙子座(5/21-6/21) Gemini,管理學院College of Management,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,300,300,40,400,200,5,1,0,0,0,30,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,142.41
320,女,2002,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,300-400,300以上,100左右,166,162,180,60,30,0,0,40,3符合 agree,3符合 agree,3符合 agree,3符合 agree,179.48
321,男,2002,5. 雙子座(5/21-6/21) Gemini,理學院College of Science,5. 難以捉摸 Hart to say and unstable,FALSE,1. 從不參與  never involve,1稍微有一點落後其他同學 below average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,7. 五年以上 > 5 years and more,1. 吃到飽沒上限 unlimited data,0,0,0,0,0,0,0,0,0,0,0,1極不符合 extremely disagree,1極不符合 extremely disagree,2不符合 disagree,1極不符合 extremely disagree,170.09
322,女,2002,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,2. 有限制不是吃到飽 limited data,639,242,165,334,345,30,30,3,0,0,30,3符合 agree,4非常符合 extremely agree,4非常符合 extremely agree,1極不符合 extremely disagree,258.99
323,女,2002,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,123,202,17,200,250,45,180,15,0,0,50,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,419.99
324,女,2003,5. 雙子座(5/21-6/21) Gemini,文學院College of Liberal Arts,1. 內向安靜 Introvert and gentle,324,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,238,123,49,255,448,0,180,30,0,0,70,3符合 agree,3符合 agree,2不符合 disagree,3符合 agree,185.91
325,男,2003,5. 雙子座(5/21-6/21) Gemini,文學院College of Liberal Arts,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,417,213,39,231,176,0,0,0,0,0,75,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,141.47
326,男,2003,5. 雙子座(5/21-6/21) Gemini,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,450,150,80,300,450,60,60,10,0,0,10,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,198.04
